销售日期,顾客人数,商品销量,销售金额
2015/1/1,64,339.666,2870.73
2015/1/2,69,427.572,3558.75
2015/1/3,64,317.01,2531.34
2015/1/4,74,372.073,2624.11
2015/1/5,75,366.401,3195.59
2015/1/6,83,461.141,4113.19
2015/1/7,109,576.251,5243.68
2015/1/8,87,401.031,3401.02
2015/1/9,71,383.712,2957.05
2015/1/10,76,461.974,3551.31
2015/1/11,73,513.89,3112.3
2015/1/12,75,493.048,3784.69
2015/1/13,84,410.723,2817.42
2015/1/14,105,764.087,5009.51
2015/1/15,81,393.194,2913.96
2015/1/16,84,378.461,3421.88
2015/1/17,80,361.363,3013.38
2015/1/18,74,516.968,3666.04
2015/1/19,110,666.896,5254.02
2015/1/20,82,377.521,3558.44
2015/1/21,115,670.697,5796.09
2015/1/22,80,442.259,3432.84
2015/1/23,79,443.459,4486.86
2015/1/24,70,423.088,3774.63
2015/1/25,73,463.325,3959.73
2015/1/26,86,535.37,3934.68
2015/1/27,79,453.736,4033.99
2015/1/28,131,740.224,7112.65
2015/1/29,77,379.593,2925.69
2015/1/30,65,314.15,2813.05
2015/1/31,80,612.633,4500.06
2015/2/1,71,398.493,3966.4
2015/2/2,80,437.141,3776.31
2015/2/3,81,482.232,16426.5
2015/2/4,1,3.69,47.92
2015/2/5,59,535.483,3997.64
2015/2/6,77,503.013,4071.71
2015/2/7,65,394.282,3499.03
2015/2/8,64,365.124,3612.78
2015/2/9,99,702.445,7567.21
2015/2/10,89,565.161,5310.15
2015/2/11,108,650.794,8614.38
2015/2/12,81,484.0,4646.75
2015/2/13,82,582.79,6514.38
2015/2/15,81,622.749,7107.16
2015/2/16,121,1072.57,11668.93
2015/2/17,117,992.493,10842.82
2015/2/18,137,1120.826,14444.48
2015/2/19,22,144.62,1663.6
2015/2/20,25,217.371,1612.64
2015/2/21,48,347.484,3093.8
2015/2/22,48,338.836,3138.4
2015/2/23,41,203.818,2086.39
2015/2/24,68,347.491,3305.66
2015/2/25,63,334.596,2494.47
2015/2/26,49,238.172,1759.52
2015/2/27,59,260.414,2285.19
2015/2/28,65,322.34,2858.02
2015/3/1,67,394.339,3506.66
2015/3/2,67,257.396,2259.57
2015/3/3,65,272.861,2294.08
2015/3/4,105,581.537,4347.87
2015/3/5,63,259.11,2577.91
2015/3/6,61,408.884,2864.17
2015/3/7,52,294.036,2649.94
2015/3/8,65,369.808,3195.51
2015/3/9,73,470.988,3454.59
2015/3/10,60,234.747,2400.19
2015/3/11,101,448.767,4236.95
2015/3/12,78,412.542,2952.37
2015/3/13,69,316.531,2575.03
2015/3/14,72,413.202,3754.37
2015/3/15,61,313.87,2842.37
2015/3/16,77,391.9,3034.44
2015/3/17,79,298.923,2824.73
2015/3/18,118,621.629,5604.94
2015/3/19,71,347.444,2489.27
2015/3/20,57,263.36,2180.36
2015/3/21,78,422.42,3492.88
2015/3/22,60,396.745,2683.63
2015/3/23,77,436.324,3983.16
2015/3/24,86,359.99,3473.9
2015/3/25,109,553.14,4484.61
2015/3/26,69,345.005,2556.67
2015/3/27,56,311.506,2626.63
2015/3/28,71,408.741,2978.32
2015/3/29,47,309.505,2511.23
2015/3/30,84,468.357,3656.31
2015/4/1,108,554.174,4567.24
2015/4/2,65,291.085,2603.29
2015/4/3,72,421.934,3764.19
2015/4/4,74,463.395,3650.89
2015/4/5,62,338.102,3181.6
2015/4/6,52,321.168,2669.13
2015/4/7,91,518.155,4076.39
2015/4/8,100,594.033,5029.53
2015/4/10,62,275.787,2415.5
2015/4/11,78,446.929,3609.03
2015/4/12,74,449.021,3345.66
2015/4/13,71,373.342,2711.39
2015/4/14,98,474.896,4073.21
2015/4/15,127,673.339,5221.64
2015/4/17,82,447.278,3754.46
2015/4/18,83,438.197,3657.6
2015/4/19,63,336.535,3069.59
2015/4/20,92,547.973,4230.38
2015/4/21,80,349.244,2876.32
2015/4/22,118,769.744,5993.71
2015/4/23,73,340.991,3287.52
2015/4/24,79,455.355,3599.1
2015/4/25,65,420.543,2999.22
2015/4/26,91,583.925,4465.21
2015/4/27,73,366.354,2553.21
2015/4/28,66,334.049,2657.64
2015/4/29,116,892.44,5966.38
2015/4/30,74,453.245,3466.09
2015/4/30,74,375.0,453.245
