大类名称,含指定大类的销售数量,含指定大类的销售单数,购物篮系数,人气指数
蔬果,28976.358,5167,5.608,3.2401
日配,27891.235,3330,8.3757,3.1188
休闲,24072.72101,3345,7.1966,2.6918
粮油,22289.395,3044,7.3224,2.4924
洗化,10705.415,1581,6.7713,1.1971
酒饮,10503.154,1160,9.0544,1.1745
肉禽,5875.648,1018,5.7718,0.657
熟食,4514.506,733,6.1589,0.5048
冲调,3737.658,420,8.8992,0.4179
家居,3024.345001,395,7.6566,0.3382
针织,1756.604001,228,7.7044,0.1964
文体,1502.943,172,8.738,0.1681
水产,1026.355999,177,5.7986,0.1148
家电,284.361,46,6.1818,0.0318
烘焙,126.3569999,18,7.0198,0.0141
