销售日期,每日促销的小类种类占比,销售金额
2015/1/1,0.18,2870.73
2015/1/2,0.14,3558.75
2015/1/3,0.14,2531.34
2015/1/4,0.14,2624.11
2015/1/5,0.18,3195.59
2015/1/6,0.22,4113.19
2015/1/7,0.24,5243.68
2015/1/8,0.14,3401.02
2015/1/9,0.18,2957.05
2015/1/10,0.16,3551.31
2015/1/11,0.15,3112.3
2015/1/12,0.17,3784.69
2015/1/13,0.17,2817.42
2015/1/14,0.3,5009.51
2015/1/15,0.18,2913.96
2015/1/16,0.14,3421.88
2015/1/17,0.17,3013.38
2015/1/18,0.13,3666.04
2015/1/19,0.19,5254.02
2015/1/20,0.17,3558.44
2015/1/21,0.26,5796.09
2015/1/22,0.23,3432.84
2015/1/23,0.24,4486.86
2015/1/24,0.23,3774.63
2015/1/25,0.2,3959.73
2015/1/26,0.18,3934.68
2015/1/27,0.2,4033.99
2015/1/28,0.26,7112.65
2015/1/29,0.21,2925.69
2015/1/30,0.26,2813.05
2015/1/31,0.18,4500.06
2015/2/1,0.18,3966.4
2015/2/2,0.2,3776.31
2015/2/3,0.2,16426.5
2015/2/4,0.38,47.92
2015/2/5,0.24,3997.64
2015/2/6,0.29,4071.71
2015/2/7,0.24,3499.03
2015/2/8,0.32,3612.78
2015/2/9,0.26,7567.21
2015/2/10,0.3,5310.15
2015/2/11,0.31,8614.38
2015/2/12,0.27,4646.75
2015/2/13,0.28,6514.38
2015/2/15,0.28,7107.16
2015/2/16,0.26,11668.93
2015/2/17,0.29,10842.82
2015/2/18,0.29,14444.48
2015/2/19,0.24,1663.6
2015/2/20,0.18,1612.64
2015/2/21,0.19,3093.8
2015/2/22,0.18,3138.4
2015/2/23,0.16,2086.39
2015/2/24,0.17,3305.66
2015/2/25,0.2,2494.47
2015/2/26,0.17,1759.52
2015/2/27,0.19,2285.19
2015/2/28,0.22,2858.02
2015/3/1,0.14,3506.66
2015/3/2,0.15,2259.57
2015/3/3,0.12,2294.08
2015/3/4,0.19,4347.87
2015/3/5,0.19,2577.91
2015/3/6,0.23,2864.17
2015/3/7,0.25,2649.94
2015/3/8,0.21,3195.51
2015/3/9,0.2,3454.59
2015/3/10,0.14,2400.19
2015/3/11,0.21,4236.95
2015/3/12,0.13,2952.37
2015/3/13,0.16,2575.03
2015/3/14,0.18,3754.37
2015/3/15,0.21,2842.37
2015/3/16,0.13,3034.44
2015/3/17,0.23,2824.73
2015/3/18,0.22,5604.94
2015/3/19,0.22,2489.27
2015/3/20,0.26,2180.36
2015/3/21,0.14,3492.88
2015/3/22,0.19,2683.63
2015/3/23,0.21,3983.16
2015/3/24,0.18,3473.9
2015/3/25,0.23,4484.61
2015/3/26,0.18,2556.67
2015/3/27,0.21,2626.63
2015/3/28,0.16,2978.32
2015/3/29,0.2,2511.23
2015/3/30,0.19,3656.31
2015/4/1,0.13,4567.24
2015/4/2,0.17,2603.29
2015/4/3,0.13,3764.19
2015/4/4,0.11,3650.89
2015/4/5,0.12,3181.6
2015/4/6,0.19,2669.13
2015/4/7,0.14,4076.39
2015/4/8,0.27,5029.53
2015/4/10,0.29,2415.5
2015/4/11,0.18,3609.03
2015/4/12,0.22,3345.66
2015/4/13,0.19,2711.39
2015/4/14,0.26,4073.21
2015/4/15,0.28,5221.64
2015/4/17,0.22,3754.46
2015/4/18,0.29,3657.6
2015/4/19,0.24,3069.59
2015/4/20,0.21,4230.38
2015/4/21,0.19,2876.32
2015/4/22,0.22,5993.71
2015/4/23,0.22,3287.52
2015/4/24,0.21,3599.1
2015/4/25,0.17,2999.22
2015/4/26,0.12,4465.21
2015/4/27,0.15,2553.21
2015/4/28,0.2,2657.64
2015/4/29,0.26,5966.38
2015/4/30,0.2,3466.09
